"","bakery_name","info"
"1","Anna B’s Gluten Free","Anna B’s Gluten Free: Fully gluten-free bakery selling breads, cakes, pies and other sweet treats. Delivery available. 7426 Brandy Creek Drive, Mechanicsville, 804-822-0656"
"2","Arley Cakes","Arley Cakes: Sweet treats such as pies, cakes, bars and macarons with a focus on social justice. Order online for pickup."
"3","Axelsdotter","Axelsdotter: Scandinavian-inspired cottage bakery from owner Ingrid Schatz, who posts weekly menus online. Order online for Saturday pickup."
"4","Beaunuts","Beaunuts: Rising from a pandemic pop-up, the Petersburg bakery focuses on treats that are a cross between a biscuit and a doughnut. 404 N. Sycamore St., Petersburg, 804-203-5046"
"5","Brecotea Baking Studio","Brecotea Baking Studio: Asian-inspired bakery featuring crepe cakes, boba and milk tea with a sister shop in North Carolina. 9125 W. Broad St., Suite M, 804-716-9774"
"6","Buttermilk Bake Shop","Buttermilk Bake Shop: Classic bake shop featuring cakes, cupcakes, doughnuts and other treats. 74 E. Bank St., Petersburg, 804-242-0027"
"7","Cameo Cakery and Cafe","Cameo Cakery and Cafe: Find savory cakes, along with charcuterie, cupcakes, beer and wine, and a spacious patio at this Libbie-Grove cafe. 306 Libbie Ave., 804-542-2020"
"8","Can Can Brasserie","Can Can Brasserie: Crusty French bread and pastries are available to go from the bar area of this Paris-inspired restaurant. 3120 W. Cary St., 804-358-7274"
"9","Keya & Co. Baking","Keya & Co. Baking: Formerly Candy Valley Cake Co., this custom bake studio is led by Food Network “Spring Baking Championship” winner Keya Wingfield, who creates custom cake pops, cakes and desserts by special order. By appointment only. 3310 Rosedale Ave., 804-358-2253"
"10","Carytown Cupcakes","Carytown Cupcakes: Offers five “classic” cupcake flavors daily, plus weekly specials such as pecan pie and roasted pumpkin. 2820-C W. Cary St., 804-355-2253"
"11","Claudia’s Bake Shop","Claudia’s Bake Shop: Bakery with Jewish and New York City influences opening in early April. 3027 W. Cary St."
"12","Coco + Hazel","Coco + Hazel: Treat shop known for its over-the-top milkshakes, in addition to black-and-white cookies, coffee and more. 2733 McRae Road, Bon Air, 804-322-7533; and 411 N. Ridge Road, 804-918-2040"
"13","Country Style Donuts","Country Style Donuts: Classic cake and yeast doughnuts baked fresh daily. 4300 Williamsburg Road, 804-222-2466; 8900 W. Broad St., 804-270-1180"
"14","Crumbl Cookies","Crumbl Cookies: Chain cookie shop that offers dine-in and delivery service. 7316 Bell Creek Road, Mechanicsville, 804-522-5043; 2003 Huguenot Road, Suite 104, 804-302-0162; 9623 W. Broad St., 804-476-0019"
"15","Early Bird Biscuit Company","Early Bird Biscuit Company: Fresh butter-packed biscuits baked using a recipe from owner Tim Laxton's grandmother with daily specials. 119 N. Robinson St., 804-335-4570; 1221 Bellevue Ave., 804-553-3866"
"16","Europa Crust","Europa Crust: Shockoe Bottom bakery inspired by a European boulangerie with rustic breads. 1321 1/2 E. Main St., Suite 111, 804-912-5859"
"17","Fat Rabbit","Fat Rabbit: A pop-up turned brick-and-mortar bakery specializing in artful cakes, cookies and ""hop-tarts."" Opening in April in Union Hill. 2025 Venable St., 804-980-4211"
"18","Flour Garden Bakery","Flour Garden Bakery: Handcrafted artisan breads and pastries baked from scratch daily and supplying area markets and restaurants. 4901 W. Leigh St., 804-261-5757"
